Michael Hussey,http://www.thatscricket.com/australia/players/mek-hussey.html,15000000
Yuvraj Singh,http://www.thatscricket.com/india/players/yuvraj-singh.html,160000000
Angelo Mathews,http://www.thatscricket.com/sri-lanka/players/ad-mathews.html,75000000
Albie Morkel,http://www.thatscricket.com/south-africa/players/ja-morkel.html,3000000
Murali Vijay,http://www.thatscricket.com/india/players/m-vijay.html,30000000
Aaron Finch,http://www.thatscricket.com/australia/players/aj-finch.html,32000000
Dinesh Karthick,http://www.thatscricket.com/india/players/kd-karthik.html,105000000
Darren Sammy,http://www.thatscricket.com/west-indies/players/djg-sammy.html,28000000
David Wiese,http://www.thatscricket.com/south-africa/players/d-wiese.html,28000000
Eoin Morgan,http://www.thatscricket.com/england/players/ejg-morgan.html,15000000
Ravi Bopara,http://www.thatscricket.com/england/players/rs-bopara.html,10000000
Kane Williamson,http://www.thatscricket.com/new-zealand/players/ks-williamson.html,6000000
