"('csk', 939.0098956783)","('dd', 866.6563701545)","('kkr', 856.5088151986)","('kxip', 865.8528037245)","('mi', 862.880867611)","('rcb', 851.9035233243)","('rr', 840.3119380679)"
"('csk', 937.9278020948)","('dd', 952.4825412659)","('kkr', 890.3746325789)","('kxip', 919.911026121)","('mi', 885.6499222201)","('rcb', 868.4252307348)","('rr', 866.4942692357)"
"('csk', 849.3520140927)","('dd', 945.5650635971)","('kkr', 887.5783367306)","('kxip', 913.3719601639)","('mi', 874.1198742842)","('rcb', 860.538505179)","('rr', 852.2148412264)"
"('csk', 890.5081797854)","('dd', 910.7993772501)","('kkr', 891.4029395923)","('kxip', 881.9316677588)","('mi', 876.5669200635)","('rcb', 870.4931284346)","('rr', 876.3841436234)"
"('csk', 829.6368399499)","('dd', 825.1260347507)","('kkr', 919.3835630408)","('kxip', 839.4744084244)","('mi', 863.9899218753)","('rcb', 915.3430142539)","('rr', 877.4696873201)"
