csk,http://www.espncricinfo.com/indian-premier-league-2011/content/squad/495836.html
dc,http://www.espncricinfo.com/indian-premier-league-2011/content/squad/495842.html
dd,http://www.espncricinfo.com/indian-premier-league-2011/content/squad/495838.html
kxip,http://www.espncricinfo.com/indian-premier-league-2011/content/squad/495843.html
ktk,http://www.espncricinfo.com/indian-premier-league-2011/content/squad/495847.html
kkr,http://www.espncricinfo.com/indian-premier-league-2011/content/squad/495841.html
mi,http://www.espncricinfo.com/indian-premier-league-2011/content/squad/495835.html
pwi,http://www.espncricinfo.com/indian-premier-league-2011/content/squad/495844.html
rr,http://www.espncricinfo.com/indian-premier-league-2011/content/squad/495837.html
rcb,http://www.espncricinfo.com/indian-premier-league-2011/content/squad/495839.html
