Amit Mishra,Bowler,1000000
Domnic Joseph,Bowler,1000000
HS Sharath,Bowler,1000000
Rahul Shukla,Bowler,1000000
Sreenath Aravind,Bowler,1000000
Basil Thampi,Bowler,1000000
Bhargav Bhatt,Bowler,1000000
KK C Cariappa,Bowler,1000000
Mihir HIrwani,Bowler,1000000
Sarabjit Ladda,Bowler,1000000
Ali Murtaza,Bowler,1000000
Rahil Shah,Bowler,1000000
Akshay Wakhare,Bowler,1000000
Harmeet Singh,Bowler,1000000
Deepak Chahar,Bowler,1000000
Aniket Choudhary,Bowler,1000000
Lukman Meriwala,Bowler,1000000
Umar Nazir,Bowler,1000000
Prasanth Parameswaran,Bowler,1000000
Anand Rajan,Bowler,1000000
Ankit Rajpoot,Bowler,1000000
Navdeep Saini,Bowler,1000000
Vikas Tokas,Bowler,1000000
Yuvraj Chudasama,Bowler,1000000
K.K. Jiaz,Bowler,1000000
Udit Patel,Bowler,1000000
Samar Quadri,Bowler,1000000
Lakshan Sandakan,Bowler,1000000
Gurvinder Singh,Bowler,1000000
Rajwinder Singh,Bowler,1000000
Bharatkumar Solanki,Bowler,1000000
Prathamesh Dake,Bowler,1000000
Ryan Duffield,Bowler,1000000
Samad Fallah,Bowler,1000000
Matthew Wade,Wicket Keeper,10000000
Denesh Ramdin,Wicket Keeper,5000000
Kusal Perera,Wicket Keeper,3000000
Luke Ronchi,Wicket Keeper,3000000
Brendan Taylor,Wicket Keeper,3000000
Morne Van Wyk,Wicket Keeper,3000000
Ben Dunk,Wicket Keeper,3000000
Shreevats Goswami,Wicket Keeper,3000000
Sushant Marathe,Wicket Keeper,3000000
Tim Ludeman,Wicket Keeper,3000000
CM Gautam,Wicket Keeper,2000000
Amit Paunikar,Wicket Keeper,2000000
James Perison,Wicket Keeper,2000000
Ankush Bains,Wicket Keeper,1000000
Davy Jacobs,Wicket Keeper,1000000
KB Arun Karthik,Wicket Keeper,1000000
Nikhil Naik,Wicket Keeper,1000000
Smit Patel,Wicket Keeper,1000000
Avi Barot,Wicket Keeper,1000000
Ian Coster,Wicket Keeper,1000000
Eklavya Dwivedi,Wicket Keeper,1000000
Gitansh Khera,Wicket Keeper,1000000
Abdul Ahad Malek,Wicket Keeper,1000000
Dhwanil Patel,Wicket Keeper,1000000
Mahesh Rawat,Wicket Keeper,1000000
Jitesh Sharma,Wicket Keeper,1000000
Umang Sharma,Wicket Keeper,1000000
Tillakaratne Dilshan,All-Rounder,15000000
Irfan Pathan,All-Rounder,15000000
Marlon Samuels,All-Rounder,15000000
Ravi Bopara,All-Rounder,10000000
Darren Sammy,All-Rounder,10000000
Johan Botha,All-Rounder,10000000
David Hussey,All-Rounder,10000000
Robin Peterson,All-Rounder,10000000
Sachithra Senanayake,All-Rounder,10000000
Chris Morris,All-Rounder,5000000
Azhar Mahmood,All-Rounder,5000000
Nathan McCullum,All-Rounder,5000000
Doug Bracewell,All-Rounder,5000000
Nathan Reardon,All-Rounder,5000000
Ashton Agar,All-Rounder,5000000
Justin Ontong,All-Rounder,5000000
James Neesham,All-Rounder,3000000
Wayne Parnell,All-Rounder,3000000
Laxmi Shukla,All-Rounder,3000000
Albie Morkel,All-Rounder,3000000
David Wiese,All-Rounder,3000000
Farhaan Behardien,All-Rounder,3000000
Jonathan Carter,All-Rounder,3000000
Anton Devcich,All-Rounder,3000000
Grant Elliott,All-Rounder,3000000
Farveez Maharoof,All-Rounder,3000000
Suraj Randiv,All-Rounder,3000000
Joginder Sharma,All-Rounder,3000000
Christopher Barnwell,All-Rounder,3000000
Carlos Brathwaite,All-Rounder,3000000
Elton Chigumbura,All-Rounder,3000000
Seekkuge Prasanna,All-Rounder,3000000
Roelof Van Der Merwe,All-Rounder,3000000
Vaughn Van Jaarsveld,All-Rounder,3000000
Kevon Cooper,All-Rounder,3000000
Kevin O'Brien,All-Rounder,3000000
Adam Zampa,All-Rounder,3000000
Dwaine Pretorius,All-Rounder,2000000
Rajagopal Sathish,All-Rounder,2000000
Marcus Stoinis,All-Rounder,2000000
Jagrit Anand,All-Rounder,1000000
Rohit Dahiya,All-Rounder,1000000
Cameron Delport,All-Rounder,1000000
Padmanabhan Prasanth,All-Rounder,1000000
Swarupam Purkayastha,All-Rounder,1000000
Dinesh Salunkhe,All-Rounder,1000000
Vijay Shankar,All-Rounder,1000000
Bipul Sharma,All-Rounder,1000000
Kshitiz Sharma,All-Rounder,1000000
Swapnil Singh,All-Rounder,1000000
Tanmay Agarwal,All-Rounder,1000000
Amogh Sunil Desai,All-Rounder,1000000
B Indrajith,All-Rounder,1000000
David Mathias,All-Rounder,1000000
Hardik Pandya,All-Rounder,1000000
Abhishek Raut,All-Rounder,1000000
Rituraj Singh,All-Rounder,1000000
Varun Sood,All-Rounder,1000000
Paul Valthaty,All-Rounder,1000000
Amit Verma,All-Rounder,1000000
Sandipan Das,All-Rounder,1000000
Dhiraj Goswami,All-Rounder,1000000
Vishal Kushwaha,All-Rounder,1000000
Anustup Majumdar,All-Rounder,1000000
Jamaluddin Syed Mohammad,All-Rounder,1000000
Wilkin Mota,All-Rounder,1000000
Krunal Pandya,All-Rounder,1000000
Raiphi Gomez,All-Rounder,1000000
Shrikant Wagh,All-Rounder,1000000
Yo Mahesh,All-Rounder,1000000
Saurabh Bandekar,All-Rounder,1000000
Samiullah Beigh,All-Rounder,1000000
Kumar Deobrat,All-Rounder,1000000
Rahul Dewan,All-Rounder,1000000
Raghav Dhawan,All-Rounder,1000000
Abhimanyu Khod,All-Rounder,1000000
Chirag Khurana,All-Rounder,1000000
Priyank Kirit Panchal,All-Rounder,1000000
Rohan Prem,All-Rounder,1000000
Samarth Singh,All-Rounder,1000000
Saly Vishwanadh,All-Rounder,1000000
Jaskarandeep Singh Buttar,All-Rounder,1000000
Yogesh Golwalkar,All-Rounder,1000000
Shashikant Kadam,All-Rounder,1000000
Shahrukh Khan,All-Rounder,1000000
Ankit Kushwah,All-Rounder,1000000
Pradeep Sachan,All-Rounder,1000000
Jatin Saxena,All-Rounder,1000000
Shubham Sharma,All-Rounder,1000000
Ankit Shastri,All-Rounder,1000000
Rohan Shrivastava,All-Rounder,1000000
Sagar Trivedi,All-Rounder,1000000
Vinay Choudhary,All-Rounder,1000000
Chathuranga De Silva,All-Rounder,1000000
Swapnil Gugale,All-Rounder,1000000
Chirag Jani,All-Rounder,1000000
Karan Kalia,All-Rounder,1000000
Melu Kranthi Kumar,All-Rounder,1000000
Suresh Kumar,All-Rounder,1000000
Arnab Nandi,All-Rounder,1000000
Akash Parkar,All-Rounder,1000000
Ankit Soni,All-Rounder,1000000
Avinash Yadav,All-Rounder,1000000
Robbie Frylinck,All-Rounder,1000000
Aditya Garhwal,All-Rounder,1000000
Jesal Karia,All-Rounder,1000000
Ashok Menaria,All-Rounder,1000000
Shrikant Mundhe,All-Rounder,1000000
Sumit Narwal,All-Rounder,1000000
Ram Dayal,All-Rounder,1000000
Jalaj Saxena,All-Rounder,1000000
Ishank Jaggi,All-Rounder,1000000
Abrar Kazi,All-Rounder,1000000
Rush Kalaria,All-Rounder,1000000
Darshan Misal,All-Rounder,1000000
Nitish Rana,All-Rounder,1000000
Pardeep Sahu,All-Rounder,1000000
Biplab Samantray,All-Rounder,1000000
Manan Sharma,All-Rounder,1000000
Harmeet Singh,All-Rounder,1000000
Harpreet Singh,All-Rounder,1000000
Amit Yadav,All-Rounder,1000000
Ankit Bawne,All-Rounder,1000000
Akash Bhandari,All-Rounder,1000000
Kuldeep Hooda,All-Rounder,1000000
Siddhesh Lad,All-Rounder,1000000
Sunil N Raju,All-Rounder,1000000
Vaibhav Rawal,All-Rounder,1000000
Amitoze Singh,All-Rounder,1000000
Gurinder Singh,All-Rounder,1000000
J Suchith,All-Rounder,1000000
