,Name,Mat,Inns,NO,Runs,HS,Ave,BF,SR,X100,X50,X4s,X6s,Ct,St,BattingScore,Base Price,Selected,Price,
224,Rajagopal Sathish,52,42,13,550,41,18.96,444,123.87,0,0,51,13,21,0,1.1598583568,5000000,0,5000000,
225,Marcus Stoinis,10,8,2,89,25,14.83,72,123.61,0,0,5,4,2,0,1.1447982838,5000000,0,5000000,
226,Jagrit Anand,15,12,1,201,54,18.27,211,95.26,0,1,14,6,4,0,0.6949478338,5000000,0,5000000,
227,Rohit Dahiya,32,25,6,185,23*,9.73,176,105.11,0,0,12,9,11,0,0.8230172292,5000000,0,5000000,
228,Cameron Delport,77,73,3,1693,103*,24.18,1225,138.2,1,8,182,73,34,0,1.45434614,5000000,0,5000000,
229,Padmanabhan Prasanth,35,25,13,241,43*,20.08,181,133.14,0,0,16,13,5,0,1.3390604659,5000000,0,5000000,
230,Swarupam Purkayastha,8,3,0,36,24,12,25,144,0,0,2,2,3,0,1.5422176543,3000000,0,3000000,
231,Dinesh Salunkhe,6,3,1,33,26*,16.5,24,137.5,0,0,5,0,2,0,1.4165431649,3000000,0,3000000,
232,Vijay Shankar,16,11,2,119,34,13.22,112,106.25,0,0,7,0,10,0,0.84673,3000000,0,3000000,
233,Bipul Sharma,59,44,17,603,79*,22.33,441,136.73,0,1,43,20,23,0,1.4177117789,3000000,0,3000000,
234,Kshitiz Sharma,8,7,1,91,57,15.16,81,112.34,0,1,5,5,1,0,0.9491656255,3000000,0,3000000,
235,Swapnil Singh,15,11,6,64,14*,12.8,62,103.22,0,0,1,4,7,0,0.7990436773,3000000,0,3000000,
236,Tanmay Agarwal,9,9,0,194,49,21.55,169,114.79,0,0,25,2,1,0,1.0075487123,3000000,0,3000000,
237,Amogh Sunil Desai,16,15,1,103,30,7.35,159,64.77,0,0,8,2,3,0,0.313848339,3000000,0,3000000,
238,B Indrajith,10,10,2,189,42,23.62,167,113.17,0,0,12,5,3,0,0.9871783437,3000000,0,3000000,
239,David Mathias,4,3,1,45,25*,22.5,73,61.64,0,0,5,0,1,0,0.3180262273,3000000,0,3000000,
240,Hardik Pandya,28,24,5,503,82*,26.47,410,122.68,0,2,34,24,11,0,1.163476423,3000000,0,3000000,
241,Abhishek Raut,36,24,7,361,43,21.23,318,113.52,0,0,27,11,13,0,0.9851213148,3000000,0,3000000,
242,Rituraj Singh,14,7,0,45,20,6.42,52,86.53,0,0,6,0,3,0,0.5560741476,3000000,0,3000000,
243,Varun Sood,17,5,1,61,28,15.25,48,127.08,0,0,5,3,6,0,1.2099826759,3000000,0,3000000,
244,Paul Valthaty,34,34,1,778,120*,23.57,615,126.5,1,3,106,24,6,0,1.2232263961,3000000,0,3000000,
245,Amit Verma,23,15,4,119,29,10.81,148,80.4,0,0,8,2,9,0,0.4860804221,3000000,0,3000000,
246,Sandipan Das,3,3,0,13,10,4.33,16,81.25,0,0,0,0,1,0,0.4889828122,3000000,0,3000000,
247,Dhiraj Goswami,17,12,3,66,26*,7.33,75,88,0,0,7,1,5,0,0.5759480447,3000000,0,3000000,
248,Anustup Majumdar,25,21,1,361,43,18.05,381,94.75,0,0,45,2,6,0,0.6871558308,3000000,0,3000000,
249,Jamaluddin Syed Mohammad,35,24,10,195,35*,13.92,161,121.11,0,0,16,3,5,0,1.0976777363,3000000,0,3000000,
250,Wilkin Mota,21,17,2,228,50,15.2,249,91.56,0,1,19,3,6,0,0.6363031684,3000000,0,3000000,
251,Krunal Pandya,15,9,2,167,51,23.85,121,138.01,0,1,10,7,7,0,1.4488708389,2000000,0,2000000,
252,Raiphi Gomez,46,40,13,612,62*,22.66,478,128.03,0,2,53,22,16,0,1.2487203767,2000000,0,2000000,
253,Shrikant Wagh,34,24,11,181,27*,13.92,175,103.42,0,0,11,5,11,0,0.8043065985,2000000,0,2000000,
254,Yo Mahesh,46,19,9,96,17*,9.6,91,105.49,0,0,8,3,13,0,0.8287425719,1000000,0,1000000,
255,Saurabh Bandekar,22,22,3,249,29,13.1,237,105.06,0,0,18,5,4,0,0.8279237119,1000000,0,1000000,
256,Samiullah Beigh,23,20,9,169,24,15.36,164,103.04,0,0,9,3,7,0,0.8016260647,1000000,0,1000000,
257,Kumar Deobrat,20,17,0,232,39,13.64,249,93.17,0,0,13,8,5,0,0.654903207,1000000,0,1000000,
258,Rahul Dewan,32,32,2,544,47,18.13,585,92.99,0,0,67,3,9,0,0.6629642856,1000000,0,1000000,
259,Raghav Dhawan,6,6,0,95,46,15.83,99,95.95,0,0,11,3,3,0,0.6985028302,1000000,0,1000000,
