IDS
43906
36084
30045
19296
49764
24598
50710
5334
49289
277906
5939
8291
249866
5674
38699
10656
277472
46148
26806
5236
331375
5941
30102
4508
277912
30732
32965
5681
268739
52912
49535
7898
8076
450860
297583
495551
319439
35280
223642
6981
49677
47666
19276
230193
52917
300631
7502
55814
47711
388678
32685
10582
53115
44149
46750
273439
439952
37749
362541
7529
46681
355269
221140
36948
44956
49638
50438
330408
457249
55343
268740
47850
47846
325012
